x,y,z
1.0119629,0.26416016,-0.14428711
1.0102539,0.25830078,-0.12451172
1.0163574,0.28125,-0.109375
1.0073242,0.28393556,-0.111816408
1.0107422,0.2770996,-0.11987305
1.0019531,0.265625,-0.12060547
1.0175781,0.25048828,-0.12841797
1.0170898,0.26757812,-0.119628904
1.010498,0.26293944,-0.10522461
1.0046387,0.25390624,-0.1184082
1.012207,0.27270508,-0.10083008
1.0136719,0.27783204,-0.12573242
1.0146484,0.26904296,-0.11450195
1.015625,0.25976562,-0.109375
1.010498,0.24926758,-0.13745117
1.012207,0.25317384,-0.10791016
1.0185547,0.27246094,-0.11376953
1.0114746,0.246826168,-0.12597656
1.0112305,0.26782228,-0.11401367
1.0124512,0.25854492,-0.091552732
1.0092774,0.25952148,-0.103515624
1.0141602,0.26464844,-0.10864258
1.0097656,0.26123048,-0.11401367
1.0119629,0.26049804,-0.12451172
1.0148926,0.26220704,-0.09863281
1.012207,0.25805664,-0.11816406
1.0163574,0.26757812,-0.11450195
1.0087891,0.2602539,-0.13134766
1.0119629,0.2607422,-0.11694336
1.0114746,0.25195312,-0.111328132
1.0134277,0.26245116,-0.11694336
1.0114746,0.27294922,-0.118652344
1.0085449,0.26000976,-0.11206055
1.0148926,0.27197266,-0.118896488
1.0148926,0.28100586,-0.122802732
1.0117188,0.25610352,-0.107421868
1.013916,0.2512207,-0.10424805
1.0161133,0.26513672,-0.12109375
1.0136719,0.26660156,-0.09692383
1.0131836,0.26245116,-0.095703128
1.0148926,0.25732422,-0.109375
1.0109863,0.25805664,-0.096191408
1.0141602,0.23657226,-0.12451172
1.013916,0.25610352,-0.0952148432
1.0168457,0.26611328,-0.12060547
1.0126953,0.24365234,-0.11669922
1.0178223,0.25512696,-0.12548828
1.0180664,0.25756836,-0.103027348
1.0158692,0.26782228,-0.11621094
1.0114746,0.26098632,-0.111816408
1.013916,0.27246094,-0.103515624
1.0185547,0.2565918,-0.10522461
1.0141602,0.25952148,-0.1105957
1.0131836,0.245849616,-0.118896488
1.0185547,0.2614746,-0.107666016
1.0168457,0.27246094,-0.11694336
