thumb_x,thumb_y,thumb_z,index_x,index_y,index_z,middle_x,middle_y,middle_z,ring_x,ring_y,ring_z,pinky_x,pinky_y,pinky_z,alphabet
1.0529785,0.08935547,-0.237548832,-0.8935547,0.18115234,-0.32348632,-0.9279785,0.041992188,-0.12939453,-1.083252,0.1586914,0.0793457,-1.0844726,0.16308594,0.06591797,A
1.0595703,0.0871582,-0.2434082,-0.89282224,0.17773438,-0.3190918,-0.93310544,0.033203124,-0.13061524,-1.0898438,0.14892578,0.072265624,-1.0910644,0.1550293,0.06640625,A
1.0600586,0.0847168,-0.21972656,-0.8847656,0.175048832,-0.33032228,-0.92407224,0.03564453,-0.13427734,-1.0817871,0.15625,0.07104492,-1.0812988,0.14868164,0.06738281,A
1.0549316,0.08544922,-0.23486328,-0.8942871,0.175048832,-0.3190918,-0.9304199,0.02734375,-0.11669922,-1.0859375,0.15625,0.08129883,-1.0854492,0.15698242,0.07128906,A
1.0529785,0.076416016,-0.237304684,-0.8972168,0.18139648,-0.31689452,-0.9255371,0.035888672,-0.11206055,-1.0883789,0.16357422,0.0795898436,-1.0874024,0.16333008,0.080322264,A
1.0598144,0.100097656,-0.229492184,-0.8881836,0.18701172,-0.33032228,-0.93066408,0.040039064,-0.12646484,-1.0878906,0.16577148,0.07446289,-1.0866699,0.16210938,0.076171868,A
1.0371094,0.018066406,-0.3154297,-0.917968736,0.183593744,-0.32348632,-0.9477539,0.029785156,-0.12011719,-1.0932617,0.15625,0.07397461,-1.0839844,0.168457032,0.07714844,A
1.0466308,0.11035156,-0.2602539,-0.90185544,0.18579102,-0.3305664,-0.9313965,0.033935548,-0.13012696,-1.0869141,0.15625,0.08251953,-1.0827637,0.1550293,0.08178711,A
1.0549316,0.044433592,-0.22924804,-0.8796387,0.17944336,-0.33251952,-0.920166,0.0397949216,-0.1315918,-1.0788574,0.16235352,0.07910156,-1.0864258,0.15966797,0.08325195,A
1.0471192,0.10498047,-0.2631836,-0.894531264,0.16699219,-0.31152344,-0.9284668,0.02368164,-0.11816406,-1.0964356,0.15209961,0.0769043,-1.0952148,0.15234375,0.08129883,A
1.0529785,0.08642578,-0.24829102,-0.889648464,0.17016602,-0.32006836,-0.925781264,0.021728516,-0.13110352,-1.0866699,0.15649414,0.07543945,-1.0830078,0.15161133,0.0766601536,A
1.0339356,0.099365232,-0.27441406,-0.87597656,0.15332031,-0.30908204,-0.9272461,0.02734375,-0.13183594,-1.1005859,0.14453125,0.08325195,-1.1013184,0.14086914,0.076416016,A
1.0559082,0.05419922,-0.2199707,-0.8874512,0.1899414,-0.3413086,-0.92700195,0.041748048,-0.13598633,-1.0856934,0.17211914,0.07739258,-1.0908203,0.17089844,0.07861328,A
1.0620117,0.10180664,-0.24194336,-0.9082031,0.184326168,-0.31420898,-0.9370117,0.032958984,-0.12866211,-1.0942383,0.16625976,0.083984376,-1.0947266,0.17041016,0.08544922,A
1.0532226,0.09790039,-0.22851562,-0.8942871,0.18188476,-0.31640624,-0.9289551,0.030273438,-0.111816408,-1.0803223,0.16430664,0.08544922,-1.0803223,0.16235352,0.08178711,A
1.0566406,0.075927736,-0.24169922,-0.889648464,0.17822266,-0.32250976,-0.9338379,0.028808594,-0.12915039,-1.0847168,0.15820312,0.08129883,-1.0852051,0.15454102,0.07373047,A
1.0524902,0.0795898436,-0.2421875,-0.8964844,0.17285156,-0.32739258,-0.93066408,0.029785156,-0.12207031,-1.0871582,0.15722656,0.07861328,-1.0876465,0.15478516,0.07885742,A
1.0456543,0.088378904,-0.25463868,-0.88916016,0.17456054,-0.32104492,-0.93481448,0.024658204,-0.10864258,-1.0866699,0.15649414,0.08300781,-1.0844726,0.1538086,0.083740232,A
